## w(eV)         sigma(Sm^-1)     kappa(W(mK)^-1)        L12/e(Am^-1)      L22/e^2(Wm^-1)
   19.07             39186.3              181.04        -1.09543e+06         4.77724e+07
   19.09             39936.3             168.915        -1.22034e+06         5.32919e+07
   19.11               41071             153.323        -1.35476e+06         5.92125e+07
   19.13             42546.1             135.347        -1.49575e+06         6.54063e+07
   19.15             44288.9             116.254         -1.6396e+06         7.17121e+07
   19.17             46201.9              97.248        -1.78196e+06         7.79412e+07
   19.19             48169.4             79.3026        -1.91803e+06         8.38857e+07
   19.21             50064.8             63.0812        -2.04281e+06         8.93293e+07
   19.23             51759.6             48.9438        -2.15139e+06         9.40594e+07
   19.25             53131.3             36.9992        -2.23927e+06         9.78809e+07
   19.27               54072             27.1749        -2.30261e+06         1.00629e+08
   19.29             54495.3              19.285        -2.33852e+06         1.02178e+08
   19.31             54341.8             13.0853        -2.34526e+06         1.02456e+08
   19.33             53582.6             8.31417        -2.32235e+06         1.01442e+08
   19.35             52219.9              4.7195        -2.27057e+06         9.91736e+07
   19.37             50286.4             2.07445        -2.19196e+06         9.57434e+07
   19.39             47841.8             0.18503        -2.08965e+06         9.12899e+07
   19.41             44967.8            -1.10817        -1.96762e+06         8.59908e+07
   19.43             41761.6            -1.93203        -1.83047e+06         8.00496e+07
   19.45             38329.5            -2.38513        -1.68312e+06         7.36833e+07
   19.47             34779.9            -2.54319         -1.5305e+06         6.71093e+07
   19.49             31216.6            -2.46469        -1.37729e+06         6.05327e+07
   19.51             27733.6            -2.19632        -1.22767e+06         5.41364e+07
   19.53             24410.5             -1.7778        -1.08518e+06         4.80733e+07
   19.55             21310.7            -1.24573             -952571         4.24611e+07
   19.57             18478.9           -0.636356             -831782         3.73803e+07
   19.59             15942.4            0.013075             -723932         3.28745e+07
   19.61             13711.1             0.66448             -629387         2.89539e+07
   19.63             11780.9              1.2807             -547864         2.55995e+07
   19.65             10135.1             1.82865             -478546         2.27686e+07
   19.67             8748.27             2.28319             -420224         2.04018e+07
   19.69             7588.71             2.63045             -371425         1.84283e+07
   19.71             6621.29             2.86927             -330542         1.67729e+07
   19.73             5809.93             3.00951             -295945         1.53599e+07
   19.75             5119.57             3.06762             -266067         1.41183e+07
   19.77             4517.83              3.0605             -239484         1.29846e+07
   19.79             3976.09             2.99983             -214956         1.19052e+07
   19.81             3470.38             2.88766             -191472         1.08377e+07
   19.83             2981.77             2.71256             -168258         9.75159e+06
   19.85             2496.55             2.44313             -144787         8.62841e+06
   19.87             2006.17             2.00975             -120772         7.46093e+06
   19.89             1506.94             1.24517              -96146         6.25226e+06
   19.91             999.595            -0.36266            -71040.8         5.01449e+06
   19.93             488.632            -5.46358            -45755.7           3.767e+06
   19.95             -18.382             273.299            -20720.1         2.53462e+06
   19.97            -511.671             14.4633             3546.06         1.34557e+06
   19.99            -980.155              9.9709               26476              229395
