## w(eV)         sigma(Sm^-1)     kappa(W(mK)^-1)        L12/e(Am^-1)      L22/e^2(Wm^-1)
    3.69             45111.1             11.4719        -2.54899e+06         1.45117e+08
    3.71             53631.2              11.484        -3.02483e+06          1.7169e+08
    3.73             62938.6             11.5476        -3.54317e+06         2.00559e+08
    3.75             72862.1             11.6345        -4.09437e+06         2.31179e+08
    3.77             83177.3             11.7103        -4.66589e+06         2.62846e+08
    3.79             93611.9             11.7378        -5.24261e+06         2.94717e+08
    3.81              103857             11.6805        -5.80736e+06         3.25837e+08
    3.83              113578             11.5052        -6.34175e+06         3.55188e+08
    3.85              122438             11.1853        -6.82712e+06         3.81739e+08
    3.87              130111             10.7028        -7.24557e+06         4.04504e+08
    3.89              136303             10.0495        -7.58106e+06         4.22605e+08
    3.91              140774             9.22792        -7.82042e+06         4.35323e+08
    3.93              143348             8.25072        -7.95419e+06          4.4215e+08
    3.95              143929             7.13988        -7.97727e+06         4.42816e+08
    3.97              142505              5.9249        -7.88918e+06         4.37311e+08
    3.99              139148             4.64069        -7.69414e+06         4.25883e+08
    4.01              134009             3.32512        -7.40069e+06         4.09022e+08
    4.03              127305             2.01651        -7.02113e+06          3.8742e+08
    4.05              119310            0.751242        -6.57065e+06         3.61931e+08
    4.07              110329           -0.438333        -6.06637e+06         3.33512e+08
    4.09              100686            -1.52557        -5.52625e+06         3.03168e+08
    4.11             90701.3            -2.49066        -4.96812e+06          2.7189e+08
    4.13             80675.4            -3.32118        -4.40869e+06         2.40609e+08
    4.15             70877.1            -4.01201        -3.86286e+06          2.1015e+08
    4.17             61531.8            -4.56476        -3.34312e+06         1.81204e+08
    4.19             52816.4            -4.98653        -2.85922e+06         1.54312e+08
    4.21             44856.7            -5.28842         -2.4181e+06         1.29852e+08
    4.23             37729.3            -5.48355        -2.02396e+06         1.08054e+08
    4.25             31466.1            -5.58498        -1.67848e+06         8.90055e+07
    4.27             26060.5            -5.60356        -1.38124e+06         7.26768e+07
    4.29             21475.3            -5.54591        -1.13009e+06          5.8943e+07
    4.31             17650.2            -5.41298             -921608         4.76091e+07
    4.33               14510             -5.1995             -751551         3.84342e+07
    4.35             11971.4            -4.89491             -615217         3.11527e+07
    4.37             9948.23            -4.48641             -507770         2.54922e+07
    4.39             8356.58            -3.96413             -424489         2.11872e+07
    4.41             7117.59            -3.32752             -360946          1.7989e+07
    4.43             6159.57            -2.59079             -313115         1.56715e+07
    4.45             5419.07            -1.78481             -277435         1.40345e+07
    4.47             4841.18           -0.954212             -250816         1.29041e+07
    4.49              4379.3           -0.150951             -230634          1.2132e+07
    4.51             3994.68             0.57243             -214698         1.15934e+07
    4.53             3655.69             1.16673             -201209         1.11851e+07
    4.55             3337.21             1.58595             -188725          1.0823e+07
    4.57             3019.97             1.78319             -176124         1.04404e+07
    4.59             2690.06             1.70223             -162577         9.98677e+06
    4.61             2338.46             1.26173             -147524         9.42622e+06
    4.63             1960.65            0.320666             -130655          8.7371e+06
    4.65             1556.29            -1.41355             -111895         7.91114e+06
    4.67             1128.79            -4.69503            -91379.4         6.95269e+06
    4.69             684.863            -12.2729              -69438         5.87766e+06
    4.71             233.928            -48.0891            -46561.6         4.71212e+06
    4.73            -212.542             63.9648            -23367.7         3.49041e+06
    4.75            -641.818             23.7854            -558.933         2.25277e+06
    4.77            -1040.77             15.5327             21124.5         1.04269e+06
    4.79            -1396.73             11.6627             40953.9            -95981.7
    4.81             -1698.4             9.25292             58260.5        -1.12197e+06
    4.83            -1936.52             7.53185             72479.8        -1.99926e+06
    4.85            -2104.55             6.21571             83188.1        -2.69942e+06
    4.87            -2199.03             5.17919             90128.1        -3.20329e+06
    4.89            -2219.81             4.35878             93222.5        -3.50203e+06
    4.91            -2169.92             3.71733             92574.8        -3.59735e+06
    4.93            -2055.34             3.22922             88455.9        -3.50097e+06
    4.95            -1884.52             2.87391             81281.3        -3.23349e+06
    4.97            -1667.72             2.63348             71578.1        -2.82263e+06
    4.99            -1416.32             2.49292             59946.7        -2.30112e+06
    5.01            -1142.09             2.44367             47021.2        -1.70442e+06
    5.03            -856.499             2.49515             33429.7        -1.06841e+06
    5.05            -570.093              2.7189               19760             -427333
    5.07            -292.074             3.52674             6531.71              188027
    5.09            -29.9856             19.8714            -5823.04              751664
    5.11             210.393            -1.32499            -16969.8         1.24322e+06
    5.13             425.001            -0.27028            -26672.8         1.64837e+06
    5.15             611.304           -0.222311            -34788.3         1.95869e+06
    5.17             768.005            -0.46969            -41251.6         2.17124e+06
    5.19             894.701           -0.881014            -46060.5          2.2878e+06
    5.21             991.543            -1.40448            -49257.2         2.31391e+06
    5.23             1058.93            -2.00334            -50912.2         2.25801e+06
    5.25             1097.33            -2.64068            -51110.7         2.13045e+06
    5.27             1107.12            -3.27543            -49944.8         1.94284e+06
    5.29              1088.7            -3.86237            -47510.6         1.70746e+06
    5.31             1042.58            -4.35417            -43911.1         1.43696e+06
    5.33             969.586            -4.70472            -39262.7         1.14423e+06
    5.35             871.188            -4.87314            -33704.5              842317
    5.37             749.693            -4.82873            -27406.5              544461
    5.39             608.448            -4.55801            -20575.3              263985
    5.41             451.894            -4.08028            -13454.6             14061.3
    5.43             285.474            -3.51101            -6318.49             -192757
    5.45              115.37            -3.67116             542.429             -345228
    5.47            -51.9041             4.93456             6841.47             -434309
    5.49            -210.042             2.83586             12321.5             -454153
    5.51             -353.53             4.15452             16782.1             -403083
    5.53            -478.228              5.9209             20105.8             -284395
    5.55             -581.86             7.87638               22278             -106824
    5.57            -664.344             9.91826             23399.2              115427
    5.59            -727.919             11.9695             23685.5              363211
    5.61            -777.025             13.9514             23457.6              613492
    5.63            -817.953             15.7736             23117.7              840895
    5.65            -858.289             17.3357             23117.3         1.01961e+06
    5.67            -906.211              18.544             23917.6         1.12547e+06
    5.69            -969.709             19.3423             25948.7         1.13798e+06
    5.71            -1055.82             19.7426             29570.4         1.04209e+06
    5.73            -1169.97             19.8336             35039.2              829512
    5.75            -1315.43             19.7565               42485              499430
    5.77            -1493.05             19.6622             51899.6             58575.1
    5.79            -1701.15             19.6759             63137.3             -479351
    5.81            -1935.69             19.8811             75926.7         -1.0948e+06
    5.83            -2190.59             20.3198             89892.7        -1.76388e+06
    5.85            -2458.18             21.0009              104584        -2.46008e+06
    5.87            -2729.81             21.9099              119503        -3.15595e+06
    5.89            -2996.36             23.0167              134139        -3.82463e+06
    5.91            -3248.81             24.2821              147991        -4.44103e+06
    5.93            -3478.62             25.6634              160591        -4.98255e+06
    5.95             -3678.1             27.1184              171520        -5.42945e+06
    5.97            -3840.52             28.6112              180413        -5.76475e+06
    5.99            -3960.08             30.1168              186963        -5.97389e+06
    6.01            -4031.74             31.6271              190914        -6.04418e+06
    6.03             -4050.8             33.1572              192052        -5.96427e+06
    6.05             -4012.2             34.7524              190193        -5.72365e+06
    6.07            -3909.57             36.4973              185166        -5.31236e+06
    6.09            -3733.81             38.5261              176788        -4.72086e+06
    6.11            -3471.13             41.0397              164837        -3.93999e+06
    6.13            -3100.29             44.3428              149008        -2.96101e+06
    6.15            -2588.85             48.9608              128856        -1.77541e+06
    6.17            -1888.17             56.1863              103716             -374370
    6.19             -926.78             73.2481             72595.9         1.25245e+06
    6.21             398.071             2.21135             34032.5         3.11904e+06
    6.23             2230.99               54.44            -14092.7         5.24626e+06
    6.25             4771.16             68.5546            -74779.5         7.66639e+06
    6.27             8287.11             80.5896             -152179          1.0429e+07
    6.29             13133.2             92.6433             -251901         1.36079e+07
    6.31             19766.8             105.061             -381342         1.73095e+07
    6.33             28765.3             117.851             -550023         2.16813e+07
    6.35             40840.5             130.966             -769889           2.692e+07
    6.37             56848.1             144.409        -1.05555e+06         3.32795e+07
    6.39             77790.5             158.284        -1.42437e+06         4.10754e+07
    6.41              104808             172.822        -1.89645e+06         5.06874e+07
    6.43              139155             188.397        -2.49427e+06         6.25556e+07
    6.45              182163             205.523         -3.2421e+06         7.71719e+07
    6.47              235180             224.837        -4.16509e+06         9.50639e+07
    6.49              299492              247.07        -5.28791e+06          1.1677e+08
    6.51              376227              273.01        -6.63315e+06          1.4281e+08
    6.53              466244             303.442        -8.21928e+06         1.73641e+08
    6.55              570010             339.091        -1.00586e+07         2.09619e+08
    6.57              687484             380.549        -1.21547e+07         2.50945e+08
    6.59              818001             428.205        -1.45007e+07         2.97619e+08
    6.61              960188             482.171        -1.70772e+07         3.49399e+08
    6.63         1.11191e+06             542.227        -1.98509e+07         4.05763e+08
    6.65         1.27027e+06             607.773        -2.27743e+07          4.6589e+08
    6.67         1.43165e+06             677.805        -2.57861e+07         5.28658e+08
    6.69          1.5918e+06             750.922        -2.88126e+07         5.92663e+08
    6.71         1.74605e+06             825.359        -3.17701e+07         6.56259e+08
    6.73         1.88949e+06             899.059         -3.4569e+07         7.17626e+08
    6.75         2.01722e+06             969.769        -3.71177e+07         7.74852e+08
    6.77         2.12465e+06             1035.17        -3.93279e+07         8.26035e+08
    6.79         2.20777e+06             1093.01        -4.11195e+07         8.69389e+08
    6.81         2.26337e+06             1141.26        -4.24255e+07         9.03354e+08
    6.83         2.28929e+06             1178.27        -4.31966e+07         9.26696e+08
    6.85         2.28454e+06             1202.85        -4.34041e+07         9.38586e+08
    6.87         2.24937e+06             1214.41         -4.3042e+07         9.38658e+08
    6.89         2.18523e+06             1212.97        -4.21271e+07         9.27039e+08
    6.91         2.09474e+06              1199.2        -4.06986e+07         9.04334e+08
    6.93         1.98142e+06             1174.31        -3.88146e+07         8.71595e+08
    6.95         1.84956e+06             1140.03        -3.65492e+07         8.30246e+08
    6.97         1.70389e+06             1098.42        -3.39872e+07         7.81994e+08
    6.99         1.54933e+06             1051.71        -3.12196e+07         7.28718e+08
    7.01         1.39073e+06             1002.15        -2.83379e+07         6.72357e+08
    7.03         1.23259e+06             951.857        -2.54292e+07         6.14798e+08
    7.05          1.0789e+06             902.583        -2.25729e+07         5.57775e+08
    7.07              933003             855.659        -1.98363e+07         5.02791e+08
    7.09              797472             811.873        -1.72734e+07         4.51054e+08
    7.11              674117             771.431        -1.49234e+07         4.03448e+08
    7.13              563998             733.964         -1.2811e+07         3.60525e+08
    7.15              467492             698.583         -1.0947e+07          3.2252e+08
    7.17              384398             663.988        -9.33059e+06         2.89385e+08
    7.19              314047             628.632         -7.9507e+06         2.60839e+08
    7.21              255425             590.943        -6.78899e+06         2.36427e+08
    7.23              207300             549.587        -5.82206e+06         2.15577e+08
    7.25              168321             503.766        -5.02376e+06         1.97663e+08
    7.27              137116              453.48        -4.36718e+06         1.82055e+08
    7.29              112363             399.691        -3.82634e+06         1.68163e+08
    7.31             92843.7             344.271        -3.37738e+06         1.55473e+08
    7.33             77476.1             289.701        -2.99942e+06         1.43564e+08
    7.35             65333.8             238.562        -2.67503e+06         1.32126e+08
    7.37             55649.5             192.984        -2.39035e+06         1.20956e+08
    7.39             47809.3             154.253          -2.135e+06         1.09955e+08
    7.41             41339.3             122.696        -1.90178e+06         9.91136e+07
    7.43             35888.5             97.8426        -1.68625e+06         8.84989e+07
    7.45             31209.6             78.7254        -1.48624e+06         7.82342e+07
    7.47             27139.1             64.1913        -1.30134e+06         6.84807e+07
    7.49             23578.7             53.1358        -1.13241e+06           5.942e+07
    7.51               20478             44.6355             -981139         5.12367e+07
    7.53             17819.8             37.9937             -849580          4.4104e+07
    7.55             15606.8             32.7292             -739825         3.81712e+07
    7.57             13851.2             28.5321             -653685         3.35526e+07
    7.59             12565.3             25.2015             -592439         3.03202e+07
    7.61             11755.3             22.5781             -556641         2.84972e+07
    7.63             11415.3             20.4952             -545979          2.8055e+07
    7.65             11524.8             18.7721             -559203         2.89118e+07
    7.67               12046             17.2475             -594105         3.09348e+07
    7.69             12924.4             15.8171             -647563         3.39439e+07
    7.71             14089.4             14.4402             -715657          3.7719e+07
    7.73             15457.7             13.1194             -793825         4.20096e+07
    7.75             16936.5             11.8742             -877086         4.65463e+07
    7.77             18428.8             10.7237             -960285         5.10542e+07
    7.79             19838.4             9.68081        -1.03837e+06         5.52667e+07
    7.81             21075.3             8.75168        -1.10666e+06          5.8939e+07
    7.83               22061             7.93926        -1.16109e+06         6.18615e+07
    7.85             22732.9             7.24727        -1.19847e+06         6.38696e+07
    7.87             23048.1             6.68468        -1.21661e+06         6.48524e+07
    7.89               22986              6.2706        -1.21443e+06         6.47567e+07
    7.91             22549.6             6.04021        -1.19206e+06         6.35891e+07
    7.93             21766.8             6.05213        -1.15078e+06         6.14139e+07
    7.95             20689.6             6.39756        -1.09301e+06          5.8349e+07
    7.97             19394.7             7.21006        -1.02222e+06         5.45604e+07
    7.99             17983.1             8.67046             -942853         5.02552e+07
    8.01             16580.8             10.9922             -860281         4.56763e+07
    8.03             15341.8             14.3545             -780794          4.1097e+07
    8.05             14451.2             18.7362             -711643         3.68195e+07
    8.07             14131.1             23.6602             -661162         3.31756e+07
    8.09             14648.7             28.0665             -638963         3.05298e+07
    8.11             16324.8             30.7204             -656186         2.92861e+07
    8.13             19543.8             31.0649             -725792         2.98963e+07
    8.15             24763.6             29.5973             -862851         3.28686e+07
    8.17             32522.6             27.3654        -1.08479e+06         3.87753e+07
    8.19             43443.6             25.3075        -1.41149e+06          4.8257e+07
    8.21             58231.7              23.997        -1.86527e+06         6.20212e+07
    8.23             77663.3             23.6922        -2.47051e+06         8.08327e+07
    8.25              102566             24.4567        -3.25306e+06         1.05494e+08
    8.27              133783             26.2466        -4.23916e+06         1.36812e+08
    8.29              172132             28.9575        -5.45405e+06         1.75556e+08
    8.31              218342             32.4465        -6.92011e+06         2.22399e+08
